application_id,county,program,application_date,age,application_stage,status,completion_status,reason_not_enrolled,cohort_year,Applied,Screened,Interviewed,Enrolled,Drop-off Stage
PTG-101605,Mombasa,Africa Code Week,2024-05-16,22,Applied Only - No Further Progress,Rejected,Not Enrolled,Session full / capacity reached,2024,Yes,No,No,No,Application Drop-off
PTG-102090,Nairobi,STEM Cafe Kenya,2022-01-19,18,Screened - Not Interviewed,Rejected,Not Enrolled,Not Specified,2022,Yes,Yes,No,No,Screening Drop-off
PTG-112775,Mombasa,Django Girls,2024-03-01,18,Screened - Not Interviewed,Rejected,Not Enrolled,Device unavailable,2024,Yes,Yes,No,No,Screening Drop-off
PTG-111459,Kisumu,Mombasa Girls in STEM,2025-07-23,27,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-104332,Mombasa,Technovation,2025-04-16,21,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-104311,Lamu,Django Girls,2018-03-29,22,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2018,Yes,No,No,No,Application Drop-off
PTG-104943,Mombasa,Codehack,2020-02-27,25,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Session full / capacity reached,2020,Yes,Yes,Yes,No,Interview Drop-off
PTG-100787,Mombasa,STEM Cafe Kenya,2023-09-30,19,Screened - Not Interviewed,Rejected,Not Enrolled,Ineligible (age/criteria),2023,Yes,Yes,No,No,Screening Drop-off
PTG-100591,Mombasa,Codehack,2023-01-24,23,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-113539,Mombasa,Africa Code Week,2020-01-24,19,Applied Only - No Further Progress,Withdrawn,Not Enrolled,No trainer capacity,2020,Yes,No,No,No,Application Drop-off
PTG-104578,Mombasa,Django Girls,2018-07-17,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2018,Yes,Yes,Yes,Yes,Enrolled
PTG-106736,Nairobi,Codehack,2026-03-24,18,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2026,Yes,No,No,No,Application Drop-off
PTG-103414,Nakuru,Codehack,2023-04-12,17,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2023,Yes,Yes,No,No,Screening Drop-off
PTG-105524,Mombasa,Technovation,2026-01-21,22,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2026,Yes,Yes,No,No,Screening Drop-off
PTG-103452,Mombasa,STEM Cafe Kenya,2021-12-11,20,Screened - Not Interviewed,Rejected,Not Enrolled,Session full / capacity reached,2021,Yes,Yes,No,No,Screening Drop-off
PTG-100108,Mombasa,Mombasa Girls in STEM,2023-04-19,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-111672,Nairobi,Codehack,2022-12-21,21,Applied Only - No Further Progress,Rejected,Not Enrolled,Ineligible (age/criteria),2022,Yes,No,No,No,Application Drop-off
PTG-107952,Mombasa,STEM Cafe Kenya,2016-02-24,21,Enrolled,Enrolled,Dropped Out,N/A - Enrolled,2016,Yes,Yes,Yes,Yes,Enrolled
PTG-113932,Lamu,Django Girls,2026-06-20,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-118858,Nairobi,Africa Code Week,2023-11-27,19,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-100765,Lamu,Technovation,2016-10-23,20,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2016,Yes,Yes,No,No,Screening Drop-off
PTG-112629,Nakuru,Django Girls,2021-10-06,24,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Device unavailable,2021,Yes,No,No,No,Application Drop-off
PTG-102034,Mombasa,STEM Cafe Kenya,2022-02-13,21,Screened - Not Interviewed,Rejected,Not Enrolled,Applicant withdrew,2022,Yes,Yes,No,No,Screening Drop-off
PTG-109578,Nairobi,STEM Cafe Kenya,2026-06-17,19,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2026,Yes,No,No,No,Application Drop-off
PTG-117047,Lamu,STEM Cafe Kenya,2022-11-21,19,Applied Only - No Further Progress,Withdrawn,Not Enrolled,Session full / capacity reached,2022,Yes,No,No,No,Application Drop-off
PTG-118199,Nakuru,Mombasa Girls in STEM,2022-02-16,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-110998,Mombasa,STEM Cafe Kenya,2021-08-03,19,Applied Only - No Further Progress,Rejected,Not Enrolled,No trainer capacity,2021,Yes,No,No,No,Application Drop-off
PTG-115450,Nairobi,STEM Cafe Kenya,2015-08-06,17,Interviewed - Not Enrolled,Rejected,Not Enrolled,Applicant withdrew,2015,Yes,Yes,Yes,No,Interview Drop-off
PTG-118010,Nakuru,Mombasa Girls in STEM,2020-03-18,18,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Device unavailable,2020,Yes,Yes,Yes,No,Interview Drop-off
PTG-114133,Mombasa,Codehack,2024-09-18,17,Interviewed - Not Enrolled,Withdrawn,Not Enrolled,Device unavailable,2024,Yes,Yes,Yes,No,Interview Drop-off
PTG-112733,Mombasa,Africa Code Week,2015-10-09,19,Screened - Not Interviewed,Rejected,Not Enrolled,No trainer capacity,2015,Yes,Yes,No,No,Screening Drop-off
PTG-114103,Nakuru,STEM Cafe Kenya,2016-02-23,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2016,Yes,Yes,Yes,Yes,Enrolled
PTG-116683,Mombasa,Mombasa Girls in STEM,2023-02-07,20,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2023,Yes,No,No,No,Application Drop-off
PTG-113733,Mombasa,Codehack,2022-09-18,17,Enrolled,Enrolled,Completed,N/A - Enrolled,2022,Yes,Yes,Yes,Yes,Enrolled
PTG-103386,Nakuru,Codehack,2018-12-30,24,Applied Only - No Further Progress,Rejected,Not Enrolled,Device unavailable,2018,Yes,No,No,No,Application Drop-off
PTG-109812,Mombasa,STEM Cafe Kenya,2025-11-05,26,Enrolled,Enrolled,Completed,N/A - Enrolled,2025,Yes,Yes,Yes,Yes,Enrolled
PTG-105453,Mombasa,Mombasa Girls in STEM,2023-11-12,28,Enrolled,Enrolled,Completed,N/A - Enrolled,2023,Yes,Yes,Yes,Yes,Enrolled
PTG-111371,Kisumu,Django Girls,2019-11-01,22,Enrolled,Enrolled,Completed,N/A - Enrolled,2019,Yes,Yes,Yes,Yes,Enrolled
PTG-116588,Mombasa,Codehack,2026-01-15,23,Enrolled,Enrolled,Completed,N/A - Enrolled,2026,Yes,Yes,Yes,Yes,Enrolled
PTG-107181,Mombasa,Django Girls,2023-06-12,28,Interviewed - Not Enrolled,Rejected,Not Enrolled,Applicant withdrew,2023,Yes,Yes,Yes,No,Interview Drop-off
